"Location","Job_Title","Industry","Company_Size","AI_Adoption_Level","Automation_Risk","Required_Skills","Salary_USD","Remote_Friendly","Job_Growth_Projection","GDP_2023_Billion_USD","GDP_Growth_2023_Percent","Automation_Impact_Score","Average_Salary","Stock_Option_Percent","Bonus_Percent","Stock_Options","Bonus","Total_Compensation","Automation_Probability","count","AI_Adoption_Count","AI_Adoption_Rate_Per_Company_Size","Job_Security_Index","Common_Degrees","Annual_Growth_Rate_Low","Annual_Growth_Rate_High","Annual_Growth_Rate_Mean","Projected_Total_Compensation_Low_5Y","Projected_Total_Compensation_High_5Y","Projected_Total_Compensation_Mean_5Y","Type_of_Automation"
"Berlin","Product Manager","Education","Medium","Low","Low","Machine Learning",90427.6442220941,"Yes","Decline",4467,0.2,2,99148.0509671984,0.05,0.1,4521.38221110471,9042.76442220941,103991.790855408,12.5822808779776,61,9085,0.671436433681893,"Medium","Business Administration, Marketing, Engineering",-2.10708103686757,0.891660735044628,-0.607710150911473,93487.9097257387,108711.480798506,101099.695262122,"Cognitive"
"Berlin","HR Manager","Technology","Medium","Medium","High","Marketing",69869.7341458084,"Yes","Growth",4467,0.2,8,82537.4997722091,0.2,0.2,13973.9468291617,13973.9468291617,97817.6278041318,78.1641557998955,60,9085,0.66042927903137,"Medium","Human Resource Management, Business Administration, Psychology",3.23054202642105,4.22272561084107,3.72663381863106,114672.205338712,120289.926420314,117481.065879513,"Unknown"
"Berlin","Operations Manager","Entertainment","Medium","Low","Low","Communication",139078.066918871,"Yes","Decline",4467,0.2,2,109031.049523266,0.05,0.1,6953.90334594357,13907.8066918871,159939.776956702,12.5822808779776,61,9085,0.671436433681893,"Medium","Business Administration, Operations Management, Industrial Engineering",-2.10708103686757,0.891660735044628,-0.607710150911473,143784.767111791,167198.678362232,155491.722737011,"Unknown"
"Berlin","Sales Manager","Manufacturing","Medium","High","Low","Python",70100.0021357928,"Yes","Stable",4467,0.2,6,84775.9185979811,0.1,0.15,7010.00021357928,10515.0003203689,87625.002669741,51.4570672670379,42,9085,0.462300495321959,"Medium","Business Administration, Marketing, Economics",1.50028362060292,2.49513791387621,1.99771076723957,94398.3325877465,99116.1364664396,96757.234527093,"Physical"
"Berlin","HR Manager","Entertainment","Medium","Medium","High","Project Management",68764.378920799,"Yes","Decline",4467,0.2,8,93839.4327514857,0.05,0.1,3438.21894603995,6876.4378920799,79079.0357589188,78.1641557998955,60,9085,0.66042927903137,"Low","Human Resource Management, Business Administration, Psychology",-2.76945797357894,0.222725610841066,-1.27336618136894,68718.6943200805,79963.613682874,74341.1540014772,"Unknown"
"Berlin","Cybersecurity Analyst","Telecommunications","Large","Low","Medium","UX/UI Design",33601.3813599316,"No","Stable",4467,0.2,4,86775.6855755273,0.2,0.2,6720.27627198632,6720.27627198632,47041.9339039042,33.2159558497369,54,9350,0.577540106951872,"Medium","Computer Science, Information Technology, Cybersecurity",1.68451884591766,2.68119725033268,2.18285804812517,51139.8390879674,53695.7343994215,52417.7867436945,"Hybrid"
"Berlin","Data Scientist","Retail","Medium","Medium","Medium","Machine Learning",104747.462705216,"No","Stable",4467,0.2,6,93059.5836881473,0.05,0.1,5237.37313526082,10474.7462705216,120459.582110999,44.0336386207491,60,9085,0.66042927903137,"Medium","Computer Science, Statistics, Mathematics",1.57526024993043,2.57085688606836,2.0730585679994,130251.001366584,136760.685990434,133505.843678509,"Unknown"
"Berlin","Operations Manager","Energy","Large","Low","High","Cybersecurity",101019.733151426,"No","Decline",4467,0.2,6,112766.467664644,0.1,0.15,10101.9733151426,15152.9599727139,126274.666439283,58.893505372107,54,9350,0.577540106951872,"Low","Business Administration, Operations Management, Industrial Engineering",-2.57482440425828,0.419286245204508,-1.07776907952689,110833.7981026,128944.220457594,119889.009280097,"Unknown"
"Berlin","Product Manager","Education","Medium","Low","Low","JavaScript",78981.7763489029,"Yes","Growth",4467,0.2,2,99148.0509671984,0.05,0.1,3949.08881744515,7898.17763489029,90829.0428012384,12.5822808779776,61,9085,0.671436433681893,"High","Business Administration, Marketing, Engineering",3.89291896313243,4.89166073504463,4.39228984908853,109939.682661254,115326.615082218,112633.148871736,"Cognitive"
"Berlin","Marketing Specialist","Entertainment","Medium","Low","Low","Python",68323.7830002633,"Yes","Stable",4467,0.2,2,81401.7531481634,0.05,0.1,3416.18915001316,6832.37830002633,78572.3504503028,12.5822808779776,61,9085,0.671436433681893,"Medium","Marketing, Business Administration, Communications",1.89291896313243,2.89166073504463,2.39228984908853,86295.8208389373,90608.8524872772,88452.3366631073,"Unknown"
"Berlin","Sales Manager","Retail","Small","Low","High","Project Management",93027.9537578642,"No","Growth",4467,0.2,6,105636.318446659,0.05,0.1,4651.39768789321,9302.79537578642,106982.146821544,58.893505372107,59,9761,0.60444626575146,"Medium","Business Administration, Marketing, Economics",3.42517559574172,4.41928624520451,3.92223092047311,126602.605394373,132805.14797311,129703.876683742,"Unknown"
"Berlin","Marketing Specialist","Retail","Small","High","High","Python",113976.705934227,"No","Decline",4467,0.2,10,98126.6279828236,0.05,0.1,5698.83529671136,11397.6705934227,131073.211824361,85.310173262842,58,9761,0.594201413789571,"Low","Marketing, Business Administration, Communications",-2.8416327499547,0.149836232719012,-1.34589825861785,113478.864330775,132058.13476155,122768.499546163,"Unknown"
"Berlin","Data Scientist","Telecommunications","Medium","Low","Medium","Machine Learning",105821.394045522,"Yes","Stable",4467,0.2,4,86745.3644065192,0.2,0.2,21164.2788091044,21164.2788091044,148149.951663731,33.2159558497369,61,9085,0.671436433681893,"Medium","Computer Science, Statistics, Mathematics",1.68451884591766,2.68119725033268,2.18285804812517,161055.553210251,169104.877194741,165080.215202496,"Hybrid"
"Berlin","Operations Manager","Healthcare","Large","Low","Low","Machine Learning",103526.201199952,"Yes","Growth",4467,0.2,2,96956.0918132002,0.1,0.15,10352.6201199952,15528.9301799927,129407.751499939,12.5822808779776,54,9350,0.577540106951872,"High","Business Administration, Operations Management, Industrial Engineering",3.89291896313243,4.89166073504463,4.39228984908853,156635.440548932,164310.417523032,160472.929035982,"Cognitive"
"Berlin","Data Scientist","Transportation","Large","High","High","Python",100519.551168352,"No","Decline",4467,0.2,10,78863.5812684809,0.05,0.1,5025.97755841762,10051.9551168352,115597.483843605,85.310173262842,47,9350,0.502673796791444,"Low","Computer Science, Statistics, Mathematics",-2.8416327499547,0.149836232719012,-1.34589825861785,100080.489395846,116466.117576877,108273.303486362,"Physical"
"Berlin","Sales Manager","Technology","Large","High","Medium","UX/UI Design",86379.8772268077,"Yes","Decline",4467,0.2,8,79434.1670836302,0.2,0.2,17275.9754453615,17275.9754453615,120931.828117531,67.4424779927358,47,9350,0.502673796791444,"Medium","Business Administration, Marketing, Economics",-2.66116902772663,0.332086724474095,-1.16454115162627,105674.754773957,122953.201768854,114313.978271405,"Unknown"
"Berlin","Cybersecurity Analyst","Entertainment","Medium","Low","Low","Marketing",79122.5626844137,"Yes","Stable",4467,0.2,2,91567.6037467579,0.05,0.1,3956.12813422068,7912.25626844137,90990.9470870757,12.5822808779776,61,9085,0.671436433681893,"Medium","Computer Science, Information Technology, Cybersecurity",1.89291896313243,2.89166073504463,2.39228984908853,99935.1352325652,104929.854523128,102432.494877847,"Unknown"
"Berlin","Sales Manager","Education","Medium","High","Medium","Marketing",55906.0597300746,"No","Decline",4467,0.2,8,87564.0581818577,0.05,0.1,2795.30298650373,5590.60597300746,64291.9686895858,67.4424779927358,42,9085,0.462300495321959,"Medium","Business Administration, Marketing, Economics",-2.66116902772663,0.332086724474095,-1.16454115162627,56180.7270341097,65366.6079596919,60773.6674969008,"Cognitive"
"Berlin","Software Engineer","Education","Large","Low","Medium","Project Management",63064.7518247247,"No","Growth",4467,0.2,4,69301.4986160037,0.05,0.1,3153.23759123624,6306.47518247247,72524.4645984334,33.2159558497369,54,9350,0.577540106951872,"Medium","Computer Science, Software Engineering, Information Technology",3.68451884591766,4.68119725033268,4.18285804812517,86906.8711483001,91164.9581033185,89035.9146258093,"Cognitive"
"Berlin","HR Manager","Energy","Medium","Medium","Medium","Python",77910.167824399,"Yes","Decline",4467,0.2,6,86944.5953950594,0.1,0.15,7791.0167824399,11686.5251736599,97387.7097804988,44.0336386207491,60,9085,0.66042927903137,"Medium","Human Resource Management, Business Administration, Psychology",-2.42473975006957,0.570856886068359,-0.926941432000604,86139.5788949649,100199.350176975,93169.4645359699,"Unknown"
"Berlin","Cybersecurity Analyst","Entertainment","Medium","Medium","Low","Sales",101820.431131198,"No","Growth",4467,0.2,4,91567.6037467579,0.05,0.1,5091.02155655988,10182.0431131198,117093.495800877,37.9677936993539,60,9085,0.66042927903137,"High","Computer Science, Information Technology, Cybersecurity",3.63652528363652,4.63272850426659,4.13462689395156,139989.992353544,146848.841505883,143419.416929714,"Unknown"
"Berlin","AI Researcher","Manufacturing","Small","High","Medium","Python",115238.677534631,"No","Decline",4467,0.2,8,98719.1876163946,0.1,0.15,11523.8677534631,17285.8016301946,144048.346918288,67.4424779927358,58,9761,0.594201413789571,"Medium","Computer Science, Artificial Intelligence, Mathematics",-2.66116902772663,0.332086724474095,-1.16454115162627,125874.833558208,146456.11282665,136165.473192429,"Physical"
"Berlin","Data Scientist","Telecommunications","Large","Medium","Medium","Sales",73692.8021945476,"Yes","Growth",4467,0.2,6,86745.3644065192,0.2,0.2,14738.5604389095,14738.5604389095,103169.923072367,44.0336386207491,65,9350,0.695187165775401,"Medium","Computer Science, Statistics, Mathematics",3.57526024993043,4.57085688606836,4.0730585679994,122979.655676741,129004.969555376,125992.312616059,"Hybrid"
"Berlin","Operations Manager","Entertainment","Small","Medium","Medium","JavaScript",110221.529151022,"No","Stable",4467,0.2,6,109031.049523266,0.05,0.1,5511.07645755108,11022.1529151022,126754.758523675,44.0336386207491,54,9761,0.553222005942014,"Medium","Business Administration, Operations Management, Industrial Engineering",1.57526024993043,2.57085688606836,2.0730585679994,137057.873988596,143907.752496401,140482.813242498,"Unknown"
"Berlin","Operations Manager","Healthcare","Small","Medium","Low","JavaScript",106981.709009017,"No","Growth",4467,0.2,4,96956.0918132002,0.1,0.15,10698.1709009017,16047.2563513526,133727.136261272,37.9677936993539,54,9761,0.553222005942014,"High","Business Administration, Operations Management, Industrial Engineering",3.63652528363652,4.63272850426659,4.13462689395156,159876.179753927,167709.358265825,163792.769009876,"Cognitive"
"Berlin","Product Manager","Retail","Large","Medium","High","Project Management",127413.267523849,"No","Growth",4467,0.2,8,127413.267523849,0.05,0.1,6370.66337619247,12741.3267523849,146525.257652427,78.1641557998955,65,9350,0.695187165775401,"Medium","Business Administration, Marketing, Engineering",3.23054202642105,4.22272561084107,3.72663381863106,171772.458707254,180187.486216912,175979.972462083,"Unknown"
"Berlin","AI Researcher","Technology","Large","Medium","High","UX/UI Design",97115.8594985532,"No","Growth",4467,0.2,8,97187.9339511768,0.2,0.2,19423.1718997106,19423.1718997106,135962.203297975,78.1641557998955,65,9350,0.695187165775401,"Medium","Computer Science, Artificial Intelligence, Mathematics",3.23054202642105,4.22272561084107,3.72663381863106,159389.325266693,167197.710656058,163293.517961375,"Unknown"
"Berlin","Marketing Specialist","Energy","Medium","Low","Low","Communication",73964.25694582,"Yes","Stable",4467,0.2,2,77774.5614972085,0.1,0.15,7396.425694582,11094.638541873,92455.321182275,12.5822808779776,61,9085,0.671436433681893,"Medium","Marketing, Business Administration, Communications",1.89291896313243,2.89166073504463,2.39228984908853,101543.453729292,106618.556154397,104081.004941844,"Unknown"
"Dubai","Cybersecurity Analyst","Entertainment","Small","Medium","High","UX/UI Design",111392.16524316,"Yes","Growth",499.2,3.4,8,91567.6037467579,0.05,0.1,5569.60826215798,11139.216524316,128100.990029634,78.1641557998955,54,9761,0.553222005942014,"Medium","Computer Science, Information Technology, Cybersecurity",3.55054202642106,4.54272561084107,4.04663381863106,152515.635528579,159963.751161872,156239.693345226,"Unknown"
"Dubai","AI Researcher","Finance","Small","Medium","Medium","JavaScript",126266.824104911,"No","Growth",499.2,3.4,6,101418.714494522,0.2,0.2,25253.3648209822,25253.3648209822,176773.553746875,44.0336386207491,54,9761,0.553222005942014,"Medium","Computer Science, Artificial Intelligence, Mathematics",3.89526024993043,4.89085688606836,4.3930585679994,213991.227159397,224442.68699004,219216.957074718,"Cognitive"
"Dubai","UX Designer","Energy","Medium","Low","Low","JavaScript",83131.7780082407,"Yes","Decline",499.2,3.4,2,105484.27888253,0.1,0.15,8313.17780082407,12469.7667012361,103914.722510301,12.5822808779776,61,9085,0.671436433681893,"Medium","Graphic Design, Human-Computer Interaction, Psychology",-1.78708103686757,1.21166073504463,-0.287710150911473,94955.5112098814,110364.611155177,102660.061182529,"Unknown"
"Dubai","UX Designer","Telecommunications","Large","Medium","High","Sales",107103.06730964,"Yes","Stable",499.2,3.4,8,94908.815690589,0.2,0.2,21420.6134619281,21420.6134619281,149944.294233497,78.1641557998955,65,9350,0.695187165775401,"Medium","Graphic Design, Human-Computer Interaction, Psychology",1.55054202642106,2.54272561084107,2.04663381863106,161935.166951543,170002.077604086,165968.622277814,"Hybrid"
"Dubai","Data Scientist","Manufacturing","Large","Medium","Low","Project Management",85588.5506503832,"No","Growth",499.2,3.4,4,91147.6357823819,0.1,0.15,8558.85506503832,12838.2825975575,106985.688312979,37.9677936993539,65,9350,0.695187165775401,"High","Computer Science, Statistics, Mathematics",3.95652528363653,4.95272850426659,4.45462689395156,129892.61486765,136236.774618201,133064.694742925,"Physical"
"Dubai","UX Designer","Manufacturing","Small","High","Low","Communication",96120.2879603579,"No","Decline",499.2,3.4,6,87848.2539378052,0.1,0.15,9612.02879603579,14418.0431940537,120150.359950447,51.4570672670379,58,9761,0.594201413789571,"Medium","Graphic Design, Human-Computer Interaction, Psychology",-2.17971637939708,0.815137913876213,-0.682289232760435,107614.220597405,125127.802936268,116371.011766837,"Physical"
"Dubai","HR Manager","Finance","Large","High","Medium","Data Analysis",56461.8305206149,"Yes","Growth",499.2,3.4,8,97296.3388251374,0.2,0.2,11292.366104123,11292.366104123,79046.5627288609,67.4424779927358,47,9350,0.502673796791444,"Medium","Human Resource Management, Business Administration, Psychology",3.65883097227337,4.65208672447409,4.15545884837373,94605.0943812826,99225.307150639,96915.2007659608,"Cognitive"
"Dubai","Cybersecurity Analyst","Technology","Small","Medium","Low","Machine Learning",86607.3176180969,"Yes","Decline",499.2,3.4,4,90259.6108789273,0.2,0.2,17321.4635236194,17321.4635236194,121250.244665336,37.9677936993539,54,9761,0.553222005942014,"Medium","Computer Science, Information Technology, Cybersecurity",-2.04347471636347,0.95272850426659,-0.545373106048443,109357.728480318,127137.284263112,118247.506371715,"Unknown"
"Dubai","Product Manager","Technology","Small","High","Low","Marketing",82127.8112530281,"No","Decline",499.2,3.4,6,95350.3467309926,0.2,0.2,16425.5622506056,16425.5622506056,114978.935754239,51.4570672670379,58,9761,0.594201413789571,"Medium","Business Administration, Marketing, Engineering",-2.17971637939708,0.815137913876213,-0.682289232760435,102982.367771638,119742.143267917,111362.255519777,"Unknown"
"Dubai","Marketing Specialist","Retail","Medium","Medium","Medium","Sales",104447.758566563,"No","Decline",499.2,3.4,6,98126.6279828236,0.05,0.1,5222.38792832817,10444.7758566563,120114.922351548,44.0336386207491,60,9085,0.66042927903137,"Medium","Marketing, Business Administration, Communications",-2.10473975006957,0.890856886068359,-0.606941432000604,107995.408425691,125561.361971246,116778.385198469,"Unknown"
"Dubai","Marketing Specialist","Education","Medium","Medium","High","Cybersecurity",109663.044218397,"No","Stable",499.2,3.4,8,107064.08482575,0.05,0.1,5483.15221091986,10966.3044218397,126112.500851157,78.1641557998955,60,9085,0.66042927903137,"Medium","Marketing, Business Administration, Communications",1.55054202642106,2.54272561084107,2.04663381863106,136197.572467859,142982.34731865,139589.959893255,"Cognitive"
"Dubai","HR Manager","Finance","Small","Low","High","JavaScript",116994.790591012,"Yes","Growth",499.2,3.4,6,97296.3388251374,0.2,0.2,23398.9581182025,23398.9581182025,163792.706827417,58.893505372107,59,9761,0.60444626575146,"Medium","Human Resource Management, Business Administration, Psychology",3.74517559574172,4.73928624520451,4.24223092047311,196849.406886431,206463.179102411,201656.292994421,"Cognitive"
"Dubai","Marketing Specialist","Manufacturing","Medium","High","Low","Project Management",64200.2764834957,"Yes","Decline",499.2,3.4,6,82402.1903411131,0.1,0.15,6420.02764834957,9630.04147252436,80250.3456043697,51.4570672670379,42,9085,0.462300495321959,"Medium","Marketing, Business Administration, Communications",-2.17971637939708,0.815137913876213,-0.682289232760435,71877.2577830674,83574.859322039,77726.0585525532,"Physical"
"Dubai","Cybersecurity Analyst","Energy","Large","High","Low","UX/UI Design",79644.9330990947,"Yes","Stable",499.2,3.4,6,88025.4623282526,0.1,0.15,7964.49330990947,11946.7399648642,99556.1663738683,51.4570672670379,47,9350,0.502673796791444,"Medium","Computer Science, Information Technology, Cybersecurity",1.82028362060292,2.81513791387621,2.31771076723957,108953.121423091,114380.89141276,111667.006417926,"Unknown"
"Dubai","Marketing Specialist","Education","Large","Medium","Medium","Python",106464.577566936,"No","Decline",499.2,3.4,6,107064.08482575,0.05,0.1,5323.22887834682,10646.4577566936,122434.264201977,44.0336386207491,65,9350,0.695187165775401,"Medium","Marketing, Business Administration, Communications",-2.10473975006957,0.890856886068359,-0.606941432000604,110080.730261747,127985.871065666,119033.300663706,"Cognitive"
"Dubai","Sales Manager","Telecommunications","Small","High","Low","UX/UI Design",82799.3577069028,"No","Growth",499.2,3.4,6,92718.4915744172,0.2,0.2,16559.8715413806,16559.8715413806,115919.100789664,51.4570672670379,58,9761,0.594201413789571,"High","Business Administration, Marketing, Economics",3.82028362060292,4.81513791387621,4.31771076723957,139818.957089125,146647.631834144,143233.294461634,"Hybrid"
"Dubai","Software Engineer","Technology","Medium","Medium","Low","Data Analysis",73638.27900779,"Yes","Growth",499.2,3.4,4,94878.2338835659,0.2,0.2,14727.655801558,14727.655801558,103093.590610906,37.9677936993539,60,9085,0.66042927903137,"High","Computer Science, Software Engineering, Information Technology",3.95652528363653,4.95272850426659,4.45462689395156,125167.172092877,131280.533780846,128223.852936861,"Unknown"
"Dubai","Product Manager","Transportation","Small","Medium","Low","Cybersecurity",42486.6797781477,"Yes","Decline",499.2,3.4,4,66707.4057732365,0.05,0.1,2124.33398890738,4248.66797781477,48859.6817448698,37.9677936993539,54,9761,0.553222005942014,"Medium","Business Administration, Marketing, Engineering",-2.04347471636347,0.95272850426659,-0.545373106048443,44067.4064175128,51231.9563902591,47649.681403886,"Physical"
"Dubai","Data Scientist","Technology","Large","Medium","High","Sales",48518.4808047042,"No","Decline",499.2,3.4,8,83975.3549432316,0.2,0.2,9703.69616094084,9703.69616094084,67925.8731265859,78.1641557998955,65,9350,0.695187165775401,"Low","Computer Science, Statistics, Mathematics",-2.44945797357894,0.542725610841066,-0.95336618136894,60004.4782424879,69789.2451972598,64896.8617198738,"Unknown"
"Dubai","Software Engineer","Entertainment","Small","Low","Low","UX/UI Design",73920.4585271853,"Yes","Growth",499.2,3.4,2,72361.6922767296,0.05,0.1,3696.02292635926,7392.04585271853,85008.5273062631,12.5822808779776,59,9761,0.60444626575146,"High","Computer Science, Software Engineering, Information Technology",4.21291896313243,5.21166073504463,4.71228984908853,104488.933136544,109592.761871853,107040.847504199,"Unknown"
